rload	V(out)	I(R433)
1.148153621496890e-028	6.761280e-028	5.888829e+000
1.202264434617421e-028	7.079929e-028	5.888829e+000
1.258925411794176e-028	7.413596e-028	5.888829e+000
1.318256738556416e-028	7.762988e-028	5.888829e+000
1.380384264602894e-028	8.128847e-028	5.888829e+000
1.445439770745938e-028	8.511948e-028	5.888829e+000
1.513561248436219e-028	8.913104e-028	5.888829e+000
1.584893192461125e-028	9.333164e-028	5.888829e+000
1.659586907437573e-028	9.773024e-028	5.888829e+000
1.737800828749388e-028	1.023361e-027	5.888829e+000
1.819700858609997e-028	1.071591e-027	5.888829e+000
1.905460717963261e-028	1.122093e-027	5.888829e+000
1.995262314968894e-028	1.174976e-027	5.888829e+000
2.089296130854055e-028	1.230351e-027	5.888829e+000
2.187761623949569e-028	1.288335e-027	5.888829e+000
2.290867652767790e-028	1.349053e-027	5.888829e+000
2.398832919019509e-028	1.412632e-027	5.888829e+000
2.511886431509599e-028	1.479207e-027	5.888829e+000
2.630267991895402e-028	1.548920e-027	5.888829e+000
2.754228703338188e-028	1.621918e-027	5.888829e+000
2.884031503126629e-028	1.698357e-027	5.888829e+000
3.019951720402040e-028	1.778398e-027	5.888829e+000
3.162277660168405e-028	1.862211e-027	5.888829e+000
3.311311214825938e-028	1.949975e-027	5.888829e+000
3.467368504525344e-028	2.041874e-027	5.888829e+000
3.630780547701043e-028	2.138104e-027	5.888829e+000
3.801893963205643e-028	2.238870e-027	5.888829e+000
3.981071705535005e-028	2.344385e-027	5.888829e+000
4.168693834703388e-028	2.454873e-027	5.888829e+000
4.365158322401696e-028	2.570567e-027	5.888829e+000
4.570881896148789e-028	2.691714e-027	5.888829e+000
4.786300923226425e-028	2.818571e-027	5.888829e+000
5.011872336272767e-028	2.951406e-027	5.888829e+000
5.248074602497772e-028	3.090501e-027	5.888829e+000
5.495408738576294e-028	3.236152e-027	5.888829e+000
5.754399373371621e-028	3.388667e-027	5.888829e+000
6.025595860743632e-028	3.548370e-027	5.888829e+000
6.309573444801990e-028	3.715600e-027	5.888829e+000
6.606934480076021e-028	3.890711e-027	5.888829e+000
6.918309709189429e-028	4.074074e-027	5.888829e+000
7.244359600749968e-028	4.266079e-027	5.888829e+000
7.585775750291909e-028	4.467134e-027	5.888829e+000
7.943282347242890e-028	4.677663e-027	5.888829e+000
8.317637711026790e-028	4.898114e-027	5.888829e+000
8.709635899560891e-028	5.128956e-027	5.888829e+000
9.120108393559187e-028	5.370676e-027	5.888829e+000
9.549925860214454e-028	5.623788e-027	5.888829e+000
