rload	V(out)	I(R3)
1.148153621496890e-018	6.761280e-018	5.888829e+000
1.202264434617421e-018	7.079930e-018	5.888829e+000
1.258925411794175e-018	7.413596e-018	5.888829e+000
1.318256738556416e-018	7.762988e-018	5.888829e+000
1.380384264602894e-018	8.128847e-018	5.888829e+000
1.445439770745937e-018	8.511947e-018	5.888829e+000
1.513561248436219e-018	8.913104e-018	5.888829e+000
1.584893192461124e-018	9.333165e-018	5.888829e+000
1.659586907437572e-018	9.773023e-018	5.888829e+000
1.737800828749388e-018	1.023361e-017	5.888829e+000
1.819700858609997e-018	1.071591e-017	5.888829e+000
1.905460717963261e-018	1.122093e-017	5.888829e+000
1.995262314968894e-018	1.174976e-017	5.888829e+000
2.089296130854055e-018	1.230351e-017	5.888829e+000
2.187761623949569e-018	1.288335e-017	5.888829e+000
2.290867652767790e-018	1.349053e-017	5.888829e+000
2.398832919019509e-018	1.412632e-017	5.888829e+000
2.511886431509600e-018	1.479207e-017	5.888829e+000
2.630267991895403e-018	1.548920e-017	5.888829e+000
2.754228703338188e-018	1.621918e-017	5.888829e+000
2.884031503126629e-018	1.698357e-017	5.888829e+000
3.019951720402040e-018	1.778398e-017	5.888829e+000
3.162277660168405e-018	1.862211e-017	5.888829e+000
3.311311214825938e-018	1.949975e-017	5.888829e+000
3.467368504525345e-018	2.041874e-017	5.888829e+000
3.630780547701043e-018	2.138105e-017	5.888829e+000
3.801893963205643e-018	2.238870e-017	5.888829e+000
3.981071705535006e-018	2.344385e-017	5.888829e+000
4.168693834703389e-018	2.454873e-017	5.888829e+000
4.365158322401697e-018	2.570567e-017	5.888829e+000
4.570881896148790e-018	2.691714e-017	5.888829e+000
4.786300923226425e-018	2.818571e-017	5.888829e+000
5.011872336272767e-018	2.951406e-017	5.888829e+000
5.248074602497773e-018	3.090501e-017	5.888829e+000
5.495408738576295e-018	3.236152e-017	5.888829e+000
5.754399373371622e-018	3.388667e-017	5.888829e+000
6.025595860743633e-018	3.548370e-017	5.888829e+000
6.309573444801991e-018	3.715600e-017	5.888829e+000
6.606934480076022e-018	3.890711e-017	5.888829e+000
6.918309709189430e-018	4.074074e-017	5.888829e+000
7.244359600749970e-018	4.266079e-017	5.888829e+000
7.585775750291912e-018	4.467134e-017	5.888829e+000
7.943282347242893e-018	4.677663e-017	5.888829e+000
8.317637711026792e-018	4.898115e-017	5.888829e+000
8.709635899560892e-018	5.128956e-017	5.888829e+000
9.120108393559187e-018	5.370676e-017	5.888829e+000
9.549925860214455e-018	5.623788e-017	5.888829e+000
1.000000000000010e-017	5.888829e-017	5.888829e+000
1.047128548050910e-017	6.166361e-017	5.888829e+000
1.096478196143196e-017	6.456973e-017	5.888829e+000
1.148153621496895e-017	6.761280e-017	5.888829e+000
1.202264434617425e-017	7.079930e-017	5.888829e+000
1.258925411794180e-017	7.413596e-017	5.888829e+000
1.318256738556421e-017	7.762988e-017	5.888829e+000
1.380384264602900e-017	8.128847e-017	5.888829e+000
1.445439770745943e-017	8.511947e-017	5.888829e+000
1.513561248436225e-017	8.913103e-017	5.888829e+000
1.584893192461131e-017	9.333165e-017	5.888829e+000
1.659586907437579e-017	9.773023e-017	5.888829e+000
1.737800828749395e-017	1.023361e-016	5.888829e+000
1.819700858610004e-017	1.071591e-016	5.888829e+000
1.905460717963269e-017	1.122093e-016	5.888829e+000
1.995262314968902e-017	1.174976e-016	5.888829e+000
2.089296130854063e-017	1.230351e-016	5.888829e+000
2.187761623949578e-017	1.288335e-016	5.888829e+000
2.290867652767799e-017	1.349053e-016	5.888829e+000
2.398832919019518e-017	1.412632e-016	5.888829e+000
2.511886431509609e-017	1.479207e-016	5.888829e+000
2.630267991895413e-017	1.548920e-016	5.888829e+000
2.754228703338199e-017	1.621918e-016	5.888829e+000
2.884031503126640e-017	1.698357e-016	5.888829e+000
3.019951720402052e-017	1.778398e-016	5.888829e+000
3.162277660168417e-017	1.862211e-016	5.888829e+000
3.311311214825951e-017	1.949975e-016	5.888829e+000
3.467368504525359e-017	2.041874e-016	5.888829e+000
3.630780547701058e-017	2.138105e-016	5.888829e+000
3.801893963205659e-017	2.238870e-016	5.888829e+000
3.981071705535023e-017	2.344385e-016	5.888829e+000
4.168693834703407e-017	2.454872e-016	5.888829e+000
4.365158322401715e-017	2.570567e-016	5.888829e+000
4.570881896148809e-017	2.691714e-016	5.888829e+000
4.786300923226445e-017	2.818571e-016	5.888829e+000
5.011872336272787e-017	2.951406e-016	5.888829e+000
5.248074602497794e-017	3.090501e-016	5.888829e+000
5.495408738576317e-017	3.236152e-016	5.888829e+000
5.754399373371645e-017	3.388667e-016	5.888829e+000
6.025595860743657e-017	3.548370e-016	5.888829e+000
6.309573444802017e-017	3.715600e-016	5.888829e+000
6.606934480076048e-017	3.890711e-016	5.888829e+000
6.918309709189458e-017	4.074074e-016	5.888829e+000
7.244359600749999e-017	4.266079e-016	5.888829e+000
7.585775750291941e-017	4.467134e-016	5.888829e+000
7.943282347242925e-017	4.677663e-016	5.888829e+000
8.317637711026825e-017	4.898115e-016	5.888829e+000
8.709635899560927e-017	5.128955e-016	5.888829e+000
9.120108393559225e-017	5.370676e-016	5.888829e+000
9.549925860214493e-017	5.623788e-016	5.888829e+000
1.000000000000014e-016	5.888829e-016	5.888829e+000
1.047128548050914e-016	6.166361e-016	5.888829e+000
